date,store_id,sku,qty_sold,price_inr,revenue_inr,shelf_sensor_stock,customer_sentiment
2026-05-31,MUMBAI_STORE_001,SKU_001_Aashirvaad_Atta_5kg,23,265.0,6095.0,22,0.25
2026-05-31,MUMBAI_STORE_001,SKU_002_IndiaGate_Basmati_5kg,12,480.0,5760.0,15,0.49
2026-05-31,MUMBAI_STORE_001,SKU_003_Fortune_Sunflower_Oil_1L,37,145.0,5365.0,23,0.26
2026-05-31,MUMBAI_STORE_001,SKU_004_Amul_Butter_500g,23,275.0,6325.0,34,0.29
2026-05-31,MUMBAI_STORE_001,SKU_005_Tata_Tea_Gold_500g,18,320.0,5760.0,28,0.31
2026-05-31,MUMBAI_STORE_001,SKU_006_Tata_Salt_1kg,49,28.0,1372.0,23,0.35
2026-05-31,MUMBAI_STORE_001,SKU_007_Toor_Dal_Premium_1kg,24,165.0,3960.0,42,0.25
2026-05-31,MUMBAI_STORE_001,SKU_008_Maggi_Noodles_12Pack,32,168.0,5376.0,45,0.33
2026-05-31,MUMBAI_STORE_001,SKU_009_Cadbury_Dairy_Milk_Silk,22,95.0,2090.0,16,0.47
2026-05-31,MUMBAI_STORE_001,SKU_010_Surf_Excel_Matic_2kg,11,390.0,4290.0,29,0.36
2026-05-31,DELHI_STORE_002,SKU_001_Aashirvaad_Atta_5kg,21,265.0,5565.0,58,0.43
2026-05-31,DELHI_STORE_002,SKU_002_IndiaGate_Basmati_5kg,5,480.0,2400.0,17,0.3
2026-05-31,DELHI_STORE_002,SKU_003_Fortune_Sunflower_Oil_1L,29,145.0,4205.0,52,0.31
2026-05-31,DELHI_STORE_002,SKU_004_Amul_Butter_500g,22,275.0,6050.0,21,0.44
2026-05-31,DELHI_STORE_002,SKU_005_Tata_Tea_Gold_500g,21,320.0,6720.0,15,0.44
2026-05-31,DELHI_STORE_002,SKU_006_Tata_Salt_1kg,54,28.0,1512.0,49,0.22
2026-05-31,DELHI_STORE_002,SKU_007_Toor_Dal_Premium_1kg,21,165.0,3465.0,53,0.39
2026-05-31,DELHI_STORE_002,SKU_008_Maggi_Noodles_12Pack,33,168.0,5544.0,28,0.3
2026-05-31,DELHI_STORE_002,SKU_009_Cadbury_Dairy_Milk_Silk,33,95.0,3135.0,54,0.34
2026-05-31,DELHI_STORE_002,SKU_010_Surf_Excel_Matic_2kg,9,390.0,3510.0,49,0.37
2026-05-31,BENGALURU_STORE_003,SKU_001_Aashirvaad_Atta_5kg,24,265.0,6360.0,38,0.33
2026-05-31,BENGALURU_STORE_003,SKU_002_IndiaGate_Basmati_5kg,9,480.0,4320.0,55,0.27
2026-05-31,BENGALURU_STORE_003,SKU_003_Fortune_Sunflower_Oil_1L,29,145.0,4205.0,25,0.22
2026-05-31,BENGALURU_STORE_003,SKU_004_Amul_Butter_500g,23,275.0,6325.0,56,0.44
2026-05-31,BENGALURU_STORE_003,SKU_005_Tata_Tea_Gold_500g,21,320.0,6720.0,55,0.36
2026-05-31,BENGALURU_STORE_003,SKU_006_Tata_Salt_1kg,46,28.0,1288.0,25,0.33
2026-05-31,BENGALURU_STORE_003,SKU_007_Toor_Dal_Premium_1kg,22,165.0,3630.0,20,0.3
2026-05-31,BENGALURU_STORE_003,SKU_008_Maggi_Noodles_12Pack,48,168.0,8064.0,38,0.41
2026-05-31,BENGALURU_STORE_003,SKU_009_Cadbury_Dairy_Milk_Silk,27,95.0,2565.0,58,0.28
2026-05-31,BENGALURU_STORE_003,SKU_010_Surf_Excel_Matic_2kg,14,390.0,5460.0,27,0.21
2026-05-31,HYDERABAD_STORE_004,SKU_001_Aashirvaad_Atta_5kg,21,265.0,5565.0,17,0.28
2026-05-31,HYDERABAD_STORE_004,SKU_002_IndiaGate_Basmati_5kg,16,480.0,7680.0,21,0.35
2026-05-31,HYDERABAD_STORE_004,SKU_003_Fortune_Sunflower_Oil_1L,34,145.0,4930.0,25,0.42
2026-05-31,HYDERABAD_STORE_004,SKU_004_Amul_Butter_500g,24,275.0,6600.0,43,0.36
2026-05-31,HYDERABAD_STORE_004,SKU_005_Tata_Tea_Gold_500g,15,320.0,4800.0,16,0.38
2026-05-31,HYDERABAD_STORE_004,SKU_006_Tata_Salt_1kg,54,28.0,1512.0,38,0.27
2026-05-31,HYDERABAD_STORE_004,SKU_007_Toor_Dal_Premium_1kg,25,165.0,4125.0,46,0.32
2026-05-31,HYDERABAD_STORE_004,SKU_008_Maggi_Noodles_12Pack,48,168.0,8064.0,30,0.23
2026-05-31,HYDERABAD_STORE_004,SKU_009_Cadbury_Dairy_Milk_Silk,25,95.0,2375.0,51,0.37
2026-05-31,HYDERABAD_STORE_004,SKU_010_Surf_Excel_Matic_2kg,14,390.0,5460.0,19,0.47
2026-05-31,CHENNAI_STORE_005,SKU_001_Aashirvaad_Atta_5kg,27,265.0,7155.0,30,0.3
2026-05-31,CHENNAI_STORE_005,SKU_002_IndiaGate_Basmati_5kg,12,480.0,5760.0,22,0.47
2026-05-31,CHENNAI_STORE_005,SKU_003_Fortune_Sunflower_Oil_1L,33,145.0,4785.0,19,0.4
2026-05-31,CHENNAI_STORE_005,SKU_004_Amul_Butter_500g,27,275.0,7425.0,44,0.27
2026-05-31,CHENNAI_STORE_005,SKU_005_Tata_Tea_Gold_500g,20,320.0,6400.0,29,0.42
2026-05-31,CHENNAI_STORE_005,SKU_006_Tata_Salt_1kg,53,28.0,1484.0,44,0.37
2026-05-31,CHENNAI_STORE_005,SKU_007_Toor_Dal_Premium_1kg,15,165.0,2475.0,26,0.27
2026-05-31,CHENNAI_STORE_005,SKU_008_Maggi_Noodles_12Pack,45,168.0,7560.0,50,0.35
2026-05-31,CHENNAI_STORE_005,SKU_009_Cadbury_Dairy_Milk_Silk,30,95.0,2850.0,23,0.42
2026-05-31,CHENNAI_STORE_005,SKU_010_Surf_Excel_Matic_2kg,11,390.0,4290.0,44,0.25
2026-06-01,MUMBAI_STORE_001,SKU_001_Aashirvaad_Atta_5kg,21,265.0,5565.0,56,0.31
2026-06-01,MUMBAI_STORE_001,SKU_002_IndiaGate_Basmati_5kg,9,480.0,4320.0,22,0.37
2026-06-01,MUMBAI_STORE_001,SKU_003_Fortune_Sunflower_Oil_1L,31,145.0,4495.0,40,0.23
2026-06-01,MUMBAI_STORE_001,SKU_004_Amul_Butter_500g,13,275.0,3575.0,54,0.42
2026-06-01,MUMBAI_STORE_001,SKU_005_Tata_Tea_Gold_500g,14,320.0,4480.0,31,0.29
2026-06-01,MUMBAI_STORE_001,SKU_006_Tata_Salt_1kg,35,28.0,980.0,50,0.39
2026-06-01,MUMBAI_STORE_001,SKU_007_Toor_Dal_Premium_1kg,18,165.0,2970.0,55,0.3
2026-06-01,MUMBAI_STORE_001,SKU_008_Maggi_Noodles_12Pack,23,168.0,3864.0,41,0.21
2026-06-01,MUMBAI_STORE_001,SKU_009_Cadbury_Dairy_Milk_Silk,19,95.0,1805.0,27,0.38
2026-06-01,MUMBAI_STORE_001,SKU_010_Surf_Excel_Matic_2kg,1,390.0,390.0,52,0.31
2026-06-01,DELHI_STORE_002,SKU_001_Aashirvaad_Atta_5kg,9,265.0,2385.0,49,0.26
2026-06-01,DELHI_STORE_002,SKU_002_IndiaGate_Basmati_5kg,8,480.0,3840.0,29,0.44
2026-06-01,DELHI_STORE_002,SKU_003_Fortune_Sunflower_Oil_1L,19,145.0,2755.0,18,0.21
2026-06-01,DELHI_STORE_002,SKU_004_Amul_Butter_500g,21,275.0,5775.0,22,0.25
2026-06-01,DELHI_STORE_002,SKU_005_Tata_Tea_Gold_500g,9,320.0,2880.0,47,0.4
2026-06-01,DELHI_STORE_002,SKU_006_Tata_Salt_1kg,39,28.0,1092.0,42,0.33
2026-06-01,DELHI_STORE_002,SKU_007_Toor_Dal_Premium_1kg,13,165.0,2145.0,49,0.2
2026-06-01,DELHI_STORE_002,SKU_008_Maggi_Noodles_12Pack,18,168.0,3024.0,16,0.46
2026-06-01,DELHI_STORE_002,SKU_009_Cadbury_Dairy_Milk_Silk,23,95.0,2185.0,19,0.35
